dm_dir	dm_id	output_table	input_table
data_manager_fetch_genome_dbkeys_all_fasta	data_manager_fetch_genome_all_fasta_dbkey	all_fasta,__dbkeys__	
data_manager_build_amrfinderplus	data_manager_build_amrfinderplus	amrfinderplus_versioned_database	
data_manager_salmon_index_builder	salmon_index_builder_data_manager	salmon_indexes_versioned	transcriptomes,all_fasta
data_manager_kallisto_index_builder	kallisto_index_builder_data_manager	kallisto_indexes	all_fasta
data_manager_kaiju	kaiju_data_manager	kaiju	
data_manager_semibin	data_manager_semibin	gtdb	
data_manager_rsync_g2	data_manager_rsync_g2		
data_manager_picard_index_builder	picard_index_builder_data_manager	picard_indexes	all_fasta
data_manager_manual	data_manager_manual		
data_manager_nextclade	data_manager_nextclade	nextclade	
data_manager_mash_sketch_builder	mash_sketch_builder	mash_sketches	
data_manager_bmtagger_index_builder	bmtagger_index_builder_data_manager	bmtagger	all_fasta
data_manager_build_kraken2_database	kraken2_build_database	kraken2_databases	
data_manager_clair3_models	data_manager_clair3_models	clair3_models	
data_manager_bwa_mem2_index_builder	bwa_mem2_index_builder_data_manager	bwa_mem2_indexes	all_fasta
data_manager_fetch_refseq	data_manager_fetch_refseq	all_fasta	
data_manager_ncbi_taxonomy_sqlite	data_manager_ncbi_taxonomy_sqlite	ncbi_taxonomy_sqlite	
data_manager_twobit_builder	twobit_builder_data_manager	lastz_seqs,twobit,alignseq_seq	all_fasta
data_manager_checkm2	checkm2_build_database	checkm2	
data_manager_pharokka_database_fetcher	pharokka_db_fetcher	pharokka_db_versioned	
data_manager_build_coreprofiler	data_manager_build_coreprofiler	coreprofiler_versioned_scheme	
data_manager_omamer	data_manager_omamer	omamer	
data_manager_fetch_gene_annotation	gene_annotation_fetcher_data_manager	gff_gene_annotations	
data_manager_homer_preparsed	homer_genome_preparse_data_manager	homer_preparse	all_fasta
data_manager_homer_preparsed	homer_install_promoters_data_manager	homer_preparse	
data_manager_vep_cache_downloader	data_manager_vep_cache_download	vep_versioned_annotation_cache	
data_manager_hisat2_index_builder	hisat2_index_builder_data_manager	hisat2_indexes	all_fasta
data_manager_sam_fasta_index_builder	sam_fasta_index_builder	fasta_indexes	all_fasta
data_manager_selection_background	data_manager_selection_background	selection_background	
data_manager_ncbi_fcs_gx_database_downloader	data_manager_ncbi_fcs_gx_database_downloader	ncbi_fcs_gx_databases_ext,ncbi_fcs_gx_divisions	
data_manager_cat	data_manager_cat	cat_database	
data_manager_genomic_super_signature_ravmodels	data_manager_genomic_super_signature_ravmodels	genomic_super_signature_ravmodels	
data_manager_build_kma_index	kma_build_index	kma_index	
data_manager_humann_database_downloader	data_manager_humann_download	humann_nucleotide_database,humann_protein_database,humann_utility_mapping	
data_manager_metaphlan_database_downloader	data_manager_metaphlan_download	metaphlan_database_versioned	
data_manager_build_staramr	data_manager_build_staramr	staramr_database	
data_manager_snpeff	data_manager_snpeff_download	snpeffv_databases	
data_manager_snpeff	data_manager_snpeff_databases	snpeffv_databases	
data_manager_mothur_toolsuite	data_manager_fetch_mothur_reference_data	mothur_aligndb,mothur_lookup,mothur_map,mothur_taxonomy	
data_manager_dada2	dada2_fetcher	dada2_taxonomy,dada2_species	
data_manager_funannotate_options	data_manager_funannotate_options	funannotate_options	funannotate
data_manager_mapseq	mapseq_db_fetcher	mapseq_db	
data_manager_build_kraken_database	kraken_database_builder	kraken_databases	
data_manager_vsnp_excel	vsnp_excel_fetcher	vsnp_excel	all_fasta
data_manager_interproscan	data_manager_interproscan	interproscan	
data_manager_mitos	data_manager_mitos	mitos	
data_manager_bwa_mem_index_builder	bwa_mem_index_builder_data_manager	bwa_mem_indexes	all_fasta
data_manager_gatk_picard_index_builder	gatk_picard_index_builder	gatk_picard_indexes	all_fasta
data_manager_fetch_plasmidfinder	data_manager_fetch_plasmidfinder	plasmidfinder_database	
data_manager_fetch_busco_options	busco_fetcher_options	busco_database_options	busco_database
data_manager_mmseqs2_database	data_manager_mmseqs2_download	mmseqs2_databases	
data_manager_fetch_index_maf	data_manager_fetch_and_index_maf	indexed_maf_files	all_fasta
data_manager_fetch_ncbi_taxonomy	ncbi_taxonomy_fetcher	ncbi_taxonomy,ncbi_accession2taxid	
data_manager_diamond_database_builder	diamond_database_builder	diamond_database	
data_manager_groot_database_downloader	groot_database_downloader	groot_database	
data_manager_malt_index_builder	data_manager_malt_index_builder	malt_indices	all_fasta
data_manager_bowtie2_index_builder	bowtie2_index_builder_data_manager	bowtie2_indexes,tophat2_indexes	all_fasta
data_manager_celltypist_models	data_manager_celltypist_models	celltypist_models	
data_manager_vsnp_genbank	vsnp_genbank_fetcher	vsnp_genbank	all_fasta
data_manager_fetch_busco	busco_fetcher	busco_database	
